ticker,year,total_assets,current_assets,total_liabilities,current_liabilities,total_equity,retained_earnings,net_revenue,profit_after_tax,ebit,interest_expense,operating_cash_flow,market_cap,current_ratio,working_capital,working_capital_to_assets,ocf_to_current_liabilities,cash_ratio,ocf_to_total_debt,roa,roe,operating_margin,ebit_to_assets,debt_ratio,equity_multiplier,ebit_to_interest,icr,company_size,revenue_growth,assets_growth,altman_x1,altman_x2,altman_x3,altman_x4,altman_z_score,springate_s_score,springate_distressed,zmijewski_x_score,zmijewski_distressed,distress_label,distress_label_next_year
SEP,2024,687249871000,263055040000,594937428000,232086859000,92312443000,5045384000,1494927993000,5045384000,4781712000,44997092000,-105445847000,184624886000,1.133433582295153,30968181000,0.0450610211900643,-0.4543378606369092,1.133433582295153,-0.1772385498664575,0.0073414113452776,0.0546555137751039,0.0031986236276197,0.0069577488505632,0.8656784862459436,7.444823781773384,0.1062671338850075,0.1062671338850075,27.25596377628713,0.0413714472093424,0.1579704356789728,0.0450610211900643,0.0073414113452776,0.0069577488505632,0.3103265609303706,0.6921322612451015,0.8235029825017829,1,0.596797286218948,1,1,1
SFC,2022,232539298000,105953868000,53938432000,37082949000,178600866000,18481912000,1455093792000,20271005000,25374819000,1757818000,38811307000,357201732000,2.857212569582856,68870919000,0.2961689468934407,1.0466078897878377,2.857212569582856,0.719548299068093,0.0871723840845171,0.1134989177488086,0.0174386140189099,0.1091205624952045,0.2319540501924109,1.3020054337250526,14.435407419880784,14.435407419880784,26.172325071346847,0.0,0.0,0.2961689468934407,0.0794786608498319,0.1091205624952045,6.622397403024248,9.88877617913466,3.563352153295569,0,-3.3815664925619164,0,0,0
SFC,2023,292261659000,171496658000,106622967000,102598463000,185638693000,25519739000,1630376761000,28308718000,22614444000,625808000,31536394000,371277386000,1.6715324283171766,68898195000,0.2357414764418346,0.3073768658698133,1.6715324283171766,0.2957748680919749,0.0968608680894403,0.1524936291164256,0.0138706859303669,0.0773773887323345,0.3648202345966975,1.5743574482072011,36.136393270779536,36.136393270779536,26.40091533042928,0.120461629321555,0.2568269600607464,0.2357414764418346,0.0873181213277106,0.0773773887323345,3.48215207704734,6.007356894167767,2.853205077783852,0,-2.6630846989145747,0,0,0
SFC,2024,280125743000,164882527000,101531333000,97141508000,178594410000,18475456000,1650630323000,18805950000,23392899000,824457000,22112250000,357188820000,1.697343703991089,67741019000,0.2418236120483935,0.227629264309959,1.697343703991089,0.217787448924757,0.067133958480924,0.1052997683410135,0.0141721006054727,0.0835085656515331,0.3624491341375933,1.5685023008278929,28.37370414709318,28.37370414709318,26.35850442145131,0.0124226267722176,-0.0415241466893883,0.2418236120483935,0.0659541525963931,0.0835085656515331,3.518015665174021,6.056467442112728,3.015769235337726,0,-2.54293212339584,0,0,0
SFG,2022,1082838886000,869306735000,467710121000,467338259000,615128764000,50551202000,2008514779000,45030666000,56645218000,32544916000,202126575000,1230257528000,1.8601231939797165,401968476000,0.3712172523512422,0.4325059442650938,1.8601231939797165,0.4321620720283707,0.0415857488885932,0.0732052679624001,0.0282025398031686,0.0523117693060018,0.4319295576165705,1.7603450681750268,1.7405243264416477,1.7405243264416477,27.710607306490928,0.0,0.0,0.3712172523512422,0.0466839551604355,0.0523117693060018,2.6303846608442325,5.7008138528699455,1.3189307225319156,0,-2.032577884360136,0,0,0
SFG,2023,1243946545000,1000137911000,590405768000,590137531000,653540777000,75454015000,1558964939000,56820856000,49254302000,22237195000,138066156000,1307081554000,1.6947539488045202,410000380000,0.3295964618801204,0.2339558979854138,1.6947539488045202,0.2338496056156416,0.0456778920512215,0.0869430921523049,0.0315942333068723,0.0395951917692733,0.474623102072284,1.9033954556136288,2.2149512112476417,2.2149512112476417,27.849310139065054,-0.2238220224716604,0.1487826684864732,0.3295964618801204,0.0606569593390365,0.0395951917692733,2.2138698922738165,4.950537552955874,0.992553518448237,0,-1.806977848213696,0,0,0
SFG,2024,1387076611000,1129651249000,733548148000,733286741000,653528464000,58395445000,1600157431000,29907789000,31038706000,23547704000,0,1307056928000,1.5405313990260734,396364508000,0.2857553107425297,0.0,1.5405313990260734,0.0,0.0215617427060775,0.0457635598868116,0.0193972826664953,0.0223770668136512,0.5288447243524316,2.122442536795153,1.3181202719381897,1.3181202719381897,27.95821949077549,0.0264229752507603,0.1150612673633817,0.2857553107425297,0.0420996537155221,0.0223770668136512,1.781828406988221,4.033093425908966,0.8312153506191031,1,-1.388775038964593,0,0,1
SFI,2022,996424237000,611195455000,220502766000,220502766000,775921470000,208313379000,1724364162000,214418568000,267620031000,2360000,25729048000,1551842940000,2.7718267035253428,390692689000,0.3920947268166461,0.1166835612393179,2.7718267035253428,0.1166835612393179,0.2151880293935483,0.2763405528654852,0.1551992536713367,0.268580410895806,0.2212940611158578,1.284181809017348,113398.318220339,113398.318220339,27.627438944607047,0.0,0.0,0.3920947268166461,0.209060931343042,0.268580410895806,7.037748179539843,12.448175993832166,2.7216427491172053,0,-4.018057290724679,0,0,0
SFI,2023,890867348000,576694623000,156187823000,156096663000,734679525000,134203304000,1017527243000,103120257000,126931340000,0,159159435000,1469359050000,3.6944711816164832,420597960000,0.4721218719534886,1.0196209959978453,3.6944711816164832,1.0190258878248146,0.1157526507526685,0.1403608695914045,0.1247449057243571,0.1424806288893192,0.1753210770948583,1.2125931344010166,9999.0,9999.0,27.51546137342329,-0.4099116268921854,-0.1059356899203968,0.4721218719534886,0.150643419922491,0.1424806288893192,9.407641529135086,14.423710460690272,1.9172560906820324,0,-3.8363346736727815,0,0,0
SFI,2024,920947023000,627020287000,157280763000,157189603000,763666260000,111594746000,1087771574000,78384998000,94602278000,298159000,35723569000,1527332520000,3.988942493862015,469830684000,0.5101603808539593,0.2272641976199914,3.988942493862015,0.227132475190243,0.0851134712881307,0.1026430027169198,0.0869688823105796,0.1027228229609033,0.1707815531968987,1.2059548407965544,317.28801746719034,317.28801746719034,27.54866835037468,0.069034349186462,0.0337644825209151,0.5101603808539593,0.1211739038326855,0.1027228229609033,9.710866674775732,14.628386403708316,1.709241598413319,0,-3.725511537549714,0,0,0
